datetime,open,high,low,close,volume
2026-04-20 11:20:00,24706,24725,24706,24725,3185
2026-04-20 11:25:00,24725,24738.4,24719.7,24738.4,2925
2026-04-20 11:30:00,24738.4,24746,24721.9,24721.9,2210
2026-04-20 11:35:00,24721.9,24734.6,24720,24734.6,2210
2026-04-20 11:40:00,24734.6,24740,24722.5,24722.8,1170
2026-04-20 11:45:00,24722.8,24739.9,24722.4,24726,780
2026-04-20 11:50:00,24726,24727,24720,24724,650
2026-04-20 11:55:00,24724,24731,24724,24731,975
2026-04-20 12:00:00,24731,24738.8,24726.3,24729,1105
2026-04-20 12:05:00,24729,24730,24720,24724,845
2026-04-20 12:10:00,24724,24726.6,24703,24703,3445
2026-04-20 12:15:00,24703,24710,24696,24696,8970
2026-04-20 12:20:00,24696,24720,24692.1,24720,6110
2026-04-20 12:25:00,24720,24730,24719.4,24730,1365
2026-04-20 12:30:00,24730,24739,24723.5,24739,910
2026-04-20 12:35:00,24739,24740,24730,24739,520
2026-04-20 12:40:00,24739,24745,24725.6,24725.6,2340
2026-04-20 12:45:00,24725.6,24745,24725.6,24745,585
2026-04-20 12:50:00,24745,24749.6,24738.6,24749.6,1365
2026-04-20 12:55:00,24749.6,24749.6,24730,24730,1820
2026-04-20 13:00:00,24730,24738.7,24700,24705.7,4095
2026-04-20 13:05:00,24705.7,24711,24690,24703,1430
2026-04-20 13:10:00,24703,24703,24660,24692.6,3185
2026-04-20 13:15:00,24692.6,24692.6,24662,24690.2,1625
2026-04-20 13:20:00,24690.2,24690.2,24647,24647.1,2665
2026-04-20 13:25:00,24647.1,24650,24625,24650,4745
2026-04-20 13:30:00,24650,24670,24647,24665.2,1105
2026-04-20 13:35:00,24665.2,24665.2,24631.3,24647.7,1820
2026-04-20 13:40:00,24647.7,24664,24643,24664,715
2026-04-20 13:45:00,24664,24666.7,24648,24654.9,1040
2026-04-20 13:50:00,24654.9,24654.9,24635,24650.4,1105
2026-04-20 13:55:00,24650.4,24658.2,24640,24650,1040
2026-04-20 14:00:00,24650,24652.5,24633.2,24652.5,1300
2026-04-20 14:05:00,24652.5,24653.7,24630,24636,845
2026-04-20 14:10:00,24636,24654.3,24636,24650,780
2026-04-20 14:15:00,24650,24660,24641.6,24641.6,910
2026-04-20 14:20:00,24641.6,24664,24641.6,24664,650
2026-04-20 14:25:00,24665.7,24692.4,24665.7,24690,2015
2026-04-20 14:30:00,24690,24690,24679.1,24679.1,585
2026-04-20 14:35:00,24679.1,24680,24661,24666.6,650
2026-04-20 14:40:00,24666.6,24666.6,24651.1,24652.4,520
2026-04-20 14:45:00,24652.4,24658,24635,24640,2275
2026-04-20 14:50:00,24640,24660,24640,24655,780
2026-04-20 14:55:00,24655,24666.8,24653.2,24666.8,845
2026-04-20 15:00:00,24666.8,24680,24666.8,24675,1170
2026-04-20 15:05:00,24670,24670,24643.5,24650,2015
2026-04-20 15:10:00,24650,24660,24640,24640,1105
2026-04-20 15:15:00,24640,24640,24588.8,24593.7,22360
2026-04-20 15:20:00,24593.7,24600.7,24580,24580,4420
2026-04-20 15:25:00,24592.4,24605,24583.4,24590,8515
2026-04-21 09:15:00,24639.9,24719.9,24639.8,24719.9,19110
2026-04-21 09:20:00,24712,24730,24704.3,24715.1,11440
2026-04-21 09:25:00,24715,24723.2,24704.3,24718.5,6565
2026-04-21 09:30:00,24718.5,24720,24695,24719.8,5005
2026-04-21 09:35:00,24719.8,24728.9,24710.9,24726.6,5005
2026-04-21 09:40:00,24726.6,24726.6,24706,24713.4,6240
2026-04-21 09:45:00,24713.4,24770,24713.4,24765,14820
2026-04-21 09:50:00,24765,24768.9,24740,24747.1,5200
2026-04-21 09:55:00,24747.1,24760,24743,24760,2665
2026-04-21 10:00:00,24760,24775,24750.9,24774,3965
2026-04-21 10:05:00,24774,24780,24769,24770.3,3445
2026-04-21 10:10:00,24770.3,24779,24763,24770.4,3900
2026-04-21 10:15:00,24770.4,24775,24766.5,24766.5,3315
2026-04-21 10:20:00,24766.5,24766.5,24745,24750,3705
2026-04-21 10:25:00,24750,24750,24740,24741.9,4225
2026-04-21 10:30:00,24741.9,24776,24741.9,24776,16055
2026-04-21 10:35:00,24776,24792,24776,24783,5070
2026-04-21 10:40:00,24783,24788,24770,24788,2795
2026-04-21 10:45:00,24788,24790,24771.1,24790,780
2026-04-21 10:50:00,24790,24800,24779,24800,8190
2026-04-21 10:55:00,24800,24813,24795,24813,5785
2026-04-21 11:00:00,24813,24813,24794,24800,1170
2026-04-21 11:05:00,24800.8,24819,24800.8,24808,3705
2026-04-21 11:10:00,24808,24813,24800,24803.4,1950
2026-04-21 11:15:00,24803.4,24812.9,24800,24800,1885
2026-04-21 11:20:00,24800,24800.1,24790,24800,2275
2026-04-21 11:25:00,24800,24803.9,24786,24786,1820
2026-04-21 11:30:00,24786,24790,24775,24775.1,2405
2026-04-21 11:35:00,24775.1,24786,24771.4,24779.7,1820
2026-04-21 11:40:00,24779.7,24789,24775.5,24789,1885
2026-04-21 11:45:00,24789,24811.2,24785.5,24802.4,3315
2026-04-21 11:50:00,24802.4,24804.7,24780.2,24780.8,7670
2026-04-21 11:55:00,24780.8,24799.2,24780.8,24789,650
2026-04-21 12:00:00,24789,24801.7,24786.6,24801.7,975
2026-04-21 12:05:00,24801.7,24809.9,24794.9,24794.9,3770
2026-04-21 12:10:00,24794.9,24820,24794.9,24816,1755
